1,Integra7 Instruments

2,Acoustic Piano
3,30,89,64,'68 Reed SNA
3,10,89,64,'73 Pure SNA
3,12,89,64,'73 Stage SNA
3,14,89,64,'73 Tine SNA
3,9,89,64,'76 Pure SNA
3,11,89,64,'76 Stage SNA
3,13,89,64,'76 Tine SNA
3,15,89,64,'81 Tine SNA
3,21,89,64,90 Shift EP SNA
3,4,89,64,BrightGrand SNA
3,26,89,64,Chorus Tine SNA
3,3,89,64,Deep Grand SNA
3,32,89,64,Dirty Reed SNA
3,28,89,64,Dirty Tine SNA
3,17,89,64,Dyno Tine SNA
3,16,89,64,Felt Tine SNA
3,25,89,64,Flanger Tine SNA
3,0,89,64,Full Grand 1 SNA
3,1,89,64,Full Grand 2 SNA
3,2,89,64,Full Grand 3 SNA
3,8,89,64,HonkyTonk Pf SNA
3,27,89,64,JC ChorusEP SNA
3,6,89,64,Mono Grand SNA
3,20,89,64,Phaser Dyno SNA
3,23,89,64,Phaser Tine SNA
3,29,89,64,Pure Reed SNA
3,7,89,64,Rock Grand SNA
3,22,89,64,SlowSpin EP SNA
3,19,89,64,Small Space SNA
3,24,89,64,TcDlyEP CC18 SNA
3,18,89,64,Tea Time SNA
3,5,89,64,UprightPiano SNA
3,31,89,64,Vibrato Reed SNA
3,0,121,2,European Pf GM2
3,3,121,0,Honky-tonk GM2
3,3,121,1,Honky-tonk w GM2
3,0,121,0,Piano 1 GM2
3,0,121,1,Piano 1 w GM2
3,1,121,0,Piano 2 GM2
3,1,121,1,Piano 2 w GM2
3,0,87,64,128voicePno PCM
3,1,87,64,Bright Piano PCM
3,12,87,64,Bs/Pno+Brs PCM
3,9,87,68,ChoraLeader PCM
3,2,87,64,Classique PCM
3,1,87,68,Contemplate PCM
3,7,87,64,E Grand PCM
3,0,87,67,Echo Piano PCM
3,0,87,68,Grand XV PCM
3,6,87,64,House Piano PCM
3,8,87,64,MIDIed Grand PCM
3,3,87,64,Nice Piano PCM
3,9,87,64,Piano Blend PCM
3,4,87,64,Piano Thang PCM
3,8,87,68,Piano+AirPad PCM
3,5,87,68,Piano+SftPad PCM
3,4,87,68,Pianomonics PCM
3,11,87,64,PianoStrings PCM
3,5,87,64,Power Grand PCM
3,0,87,70,Power Octs PCM
3,2,87,67,RD-1000 PCM
3,2,87,68,Rock Piano PCM
3,3,87,68,RockPiano Ch PCM
3,1,87,67,Upright Pno PCM
3,6,87,68,WarmVoxPiano PCM
3,1,87,70,WaterPiano2 PCM
3,10,87,64,West Coast PCM
3,7,87,68,Y2K Concerto PCM

2,Electric Piano
3,65,95,72,80's EP SNA
3,64,95,72,EP Belle SNA
3,57,95,72,FM EP 1 SNA
3,58,95,72,FM EP 2 SNA
3,59,95,72,FM EP 3 SNA
3,60,95,72,FM EP 4 SNA
3,61,95,72,FM EP 5 SNA
3,62,95,72,FM EP 6 SNA
3,63,95,72,FM EPhaser SNA
3,66,95,72,Spirit Tine SNA
3,5,121,1,Detuned EP GM2
3,4,121,0,E Piano 1 GM2
3,5,121,0,E Piano 2 GM2
3,4,121,2,EP Legend 1 GM2
3,5,121,3,EP Legend 2 GM2
3,5,121,4,EP Phase GM2
3,2,121,0,Piano 3 GM2
3,2,121,1,Piano 3 w GM2
3,5,121,2,St FM EP GM2
3,4,121,1,St Soft EP v
3,4,121,3,Wurly GM2
3,19,87,68,Ambi EP PCM
3,6,87,70,Amped Wurlie PCM
3,5,87,70,Back EP PCM
3,4,87,70,Cold Roadz PCM
3,4,87,67,D-50 EP PCM
3,26,87,64,Delicate EP PCM
3,18,87,64,Dig EP PCM
3,7,87,70,Dirty Wurliev
3,6,87,67,Echo EP PCM
3,21,87,64,EP Mix PCM
3,13,87,68,EP Trem PCM
3,18,87,68,EP Trip PCM
3,30,87,64,EP+Mod Pad PCM
3,12,87,68,Fat EP PCM
3,8,87,67,FM BellPiano PCM
3,22,87,68,FM Delight PCM
3,15,87,68,Hit EP PCM
3,5,87,67,Innocent EP PCM
3,29,87,64,JV EP+ PCM
3,24,87,64,MK-80 EP PCM
3,25,87,64,MK-80 Phaser PCM
3,31,87,64,Mr Mellow PCM
3,20,87,64,Nylon EP PCM
3,19,87,64,Nylon EPiano PCM
3,27,87,64,Octa EP 1 PCM
3,28,87,64,Octa EP 2 PCM
3,14,87,68,Phaser Dyno PCM
3,3,87,67,Player's EP PCM
3,17,87,68,Pluk EP PCM
3,22,87,64,Psycho EP PCM
3,11,87,68,Retro EP PCM
3,20,87,68,Rholitzer PCM
3,9,87,67,Ring E Piano PCM
3,14,87,64,S A E P PCM
3,15,87,64,SA EP 1 PCM
3,16,87,64,SA EP 2 PCM
3,7,87,67,See-Thru EP PCM
3,10,87,68,SparklePiano PCM
3,127,87,70,St LoFiNoise PCM
3,17,87,64,Stiky EP PCM
3,16,87,68,Sweet Tynes PCM
3,2,87,70,Swimming EP PCM
3,23,87,64,Tremo EP PCM
3,13,87,64,Water EP PCM
3,21,87,68,Wurlie PCM
3,3,87,70,XV Crystal PCM

2,Harpsichord
3,6,121,1,Coupled Hps GM2
3,6,121,3,Harpsi o GM2
3,6,121,2,Harpsi w GM2
3,6,121,0,Harpsichord GM2
3,27,87,68,3PartInventn PCM
3,15,87,67,PieceOfCheez PCM
3,26,87,68,St Harpsichd PCM

2,Electric Bass
3,33,121,1,Finger Slap GM2
3,33,121,0,Fingered Bs GM2
3,35,121,0,Fretless Bs GM2
3,34,121,0,Picked Bass GM2
3,36,121,0,Slap Bass 1 GM2
3,37,121,0,Slap Bass 2 GM2
3,48,87,69,8-str F'less PCM
3,47,87,69,Basic F'less PCM
3,84,87,70,COSM Bass PCM
3,12,87,65,Finger Bass PCM
3,16,87,65,Fretls Dry PCM
3,9,87,65,Hip Bass PCM
3,11,87,65,Homey Bass PCM
3,45,87,69,LookMaNoFret PCM
3,51,87,69,PBs Chorus PCM
3,10,87,65,Perc Bass PCM
3,8,87,65,Pick Bass PCM
3,50,87,69,Pop Bass PCM
3,17,87,65,Slap Bass 1 PCM
3,18,87,5,Slap Bass 2 PCM
3,19,87,65,Slap Bass 3 PCM
3,20,87,65,Slap Bass 4 PCM
3,49,87,69,Tap Bass PCM
3,52,87,69,TremCho Bs PCM
3,15,87,65,Wet Fretls PCM
3,46,87,69,XV Fretless PCM

2,Acoustic Bass
3,6,89,65,Ac Bass 1 SNA
3,7,89,65,Ac Bass 2 SNA
3,6,97,1,Acoustic Bs2 SNA
3,10,89,65,Comp FingBs SNA
3,20,89,65,CompFretless SNA
3,8,89,65,Fing Bass 1 SNA
3,9,89,65,Fing Bass 2 SNA
3,18,89,65,Fretless 1 SNA
3,19,89,65,Fretless 2 SNA
3,16,89,65,LowBoostPick SNA
3,21,89,65,Mr Fretless SNA
3,15,89,65,Muted Bass SNA
3,17,89,65,OD Pick Bass SNA
3,11,89,65,Phaser Fing1 SNA
3,12,89,65,Phaser Fing2 SNA
3,14,89,65,Pick Bass SNA
3,13,89,65,Slap Bass SNA
3,32,121,0,Acoustic Bs GM2
3,120,121,2,String Slap GM2
3,14,87,65,Ac Upright SNS
