0,A-Deebach Organ,default.csv,amloop.mid,11,12,14
2,Air on a G String,air.csv,air.mid,11,12,14
37,Always on my Mind DB,mymind.csv,mymind.mid,11,12,14
3,Always on my Mind GM,mymind.csv,mymind.mid,11,12,14
4,Autumn Leaves,autmleav.csv,autmleav.mid,11,12,14
5,Bridge Over Troubled,bridge.csv,bridge.mid,11,12,14
6,Cant Take My Eyes,cantake.csv,cantake.mid,11,12,14
7,Cavatina,cavatina.csv,cavatina.mid,11,12,14
8,Ebbtide,ebbtide.csv,ebbtide.mid,11,12,14
12,Feelings,feelings.csv,feelings.mid,11,12,14
14,Fly Me Moon,flymoon.csv,flymoon.mid,11,12,14
9,Girl from Ipanema,ipanema.csv,ipanema.mid,11,12,14
10,Going Out My Head,goinghed.csv,goinghed.mid,11,12,14
11,How High Moon,highmoon.csv,highmoon.mid,11,12,14
1,I-AllMute,allmute.csv,allmute.mid,11,12,14
15,Kathy,kathy.csv,kathy.mid,11,12,14
16,Killing Me Softly,killing.csv,killing.mid,11,12,14
16,Laras Theme,larasthm.csv,larasthm.mid,11,12,14
17,Lonely Sheppard,sheppard.csv,sheppard.mid,11,12,14
18,Misty,misty.csv,misty.mid,11,12,14
19,Moonlight Sonata,mnlight.csv,mnlight.mid,11,12,14
20,Mozart 40th,mozart40.csv,mozart40.mid,11,12,14
21,My Way,myway.csv,myway.mid,11,12,14
22,Raindrops on Head,raindrop.csv,raindrop.mid,11,12,14
23,Samba Pi Ti,sambapat.csv,sambapat.mid,11,12,14
25,Shadow Your Smile,shadow.csv,shadow.mid,11,12,14
24,She,she.csv,she.mid,11,12,14
26,Sleepy Shores,slpshore.csv,slpshore.mid,11,12,14
27,Something,somethin.csv,somethin.mid,11,12,14
28,Stranger on Shore,strshore.csv,strshore.mid,11,12,14
29,Summer Place,sumplace.csv,sumplace.mid,11,12,14
30,Summer Wind,sumwind.csv,sumwind.mid,11,12,14
31,The Seduction,sedulove.csv,sedulove.mid,11,12,14
33,When We Were Young,whenwe.csv,whenwe.mid,11,12,14
34,Whiter Shade Pale,whiter.csv,whiter.mid,11,12,14
32,Yesterday,yesterda.csv,yesterda.mid,11,12,14
